date,ydd_hrel,3003430_hrf,3004630_hwl,3002655_hwl_AR
2024-06-25 04:00:00,11.121,0.0,1.01,0.73
2024-06-25 05:00:00,11.128,0.0,1.01,0.73
2024-06-25 06:00:00,11.123,0.0,1.01,0.73
2024-06-25 07:00:00,11.115,0.0,1.01,0.73
2024-06-25 08:00:00,11.127,0.0,1.01,0.73
2024-06-25 09:00:00,11.125,0.0,1.02,0.73
2024-06-25 10:00:00,11.129,0.0,1.01,0.73
2024-06-25 11:00:00,11.131,0.0,1.01,0.73
2024-06-25 12:00:00,11.135,0.0,1.01,0.73
2024-06-25 13:00:00,11.137,0.0,1.01,0.73
2024-06-25 14:00:00,11.142,0.0,1.01,0.74
2024-06-25 15:00:00,11.132,0.0,1.01,0.73
2024-06-25 16:00:00,11.139,0.0,1.01,0.73
2024-06-25 17:00:00,11.14,0.0,1.01,0.73
2024-06-25 18:00:00,11.141,0.0,1.01,0.73
2024-06-25 19:00:00,11.143,0.0,1.01,0.73
2024-06-25 20:00:00,11.136,0.0,1.01,0.74
2024-06-25 21:00:00,11.145,0.0,1.01,0.73
2024-06-25 22:00:00,11.147,0.0,1.01,0.74
2024-06-25 23:00:00,11.143,0.0,1.01,0.74
2024-06-26 00:00:00,11.146,0.0,1.02,0.74
2024-06-26 01:00:00,11.144,0.0,1.01,0.74
2024-06-26 02:00:00,11.147,0.0,1.01,0.74
2024-06-26 03:00:00,11.147,0.0,1.01,0.74
2024-06-26 04:00:00,11.149,0.0,1.01,0.74
2024-06-26 05:00:00,11.158,0.0,1.01,0.74
2024-06-26 06:00:00,11.164,0.0,1.01,0.74
2024-06-26 07:00:00,11.159,0.0,1.01,0.73
2024-06-26 08:00:00,11.149,0.0,1.01,0.73
2024-06-26 09:00:00,11.15,0.0,1.02,0.74
2024-06-26 10:00:00,11.149,0.0,1.01,0.73
2024-06-26 11:00:00,11.167,0.0,1.01,0.74
2024-06-26 12:00:00,11.164,0.0,1.01,0.73
2024-06-26 13:00:00,11.166,0.0,1.01,0.74
2024-06-26 14:00:00,11.165,0.0,1.01,0.74
2024-06-26 15:00:00,11.166,0.0,1.01,0.74
2024-06-26 16:00:00,11.161,0.0,1.01,0.73
2024-06-26 17:00:00,11.166,0.0,1.01,0.74
2024-06-26 18:00:00,11.166,0.0,1.01,0.74
2024-06-26 19:00:00,11.175,0.0,1.01,0.74
